count,mean,std,min,25%,50%,75%,max
744.0,124.03213679767245,102.35790789633437,6.0,49.0,111.0,162.0,608.0
672.0,142.40990458696174,117.72609068626161,5.0,57.0,106.36367249833174,208.0,561.0
744.0,126.97629525873431,92.5310936059555,5.0,53.0,116.0,182.0,697.0
720.0,126.27436903817822,76.23426577513102,5.0,79.75,114.0,154.25,894.0
744.0,113.81389665305538,70.48355637858135,3.0,70.0,106.36367249833174,143.0,482.0
720.0,83.1382579270671,52.855081288672,5.0,43.0,74.0,112.0,293.0
744.0,115.80217521840277,66.28530627176325,5.0,62.0,109.0,163.0,364.0
744.0,83.7114993077374,46.33149420474821,5.0,47.0,80.0,117.25,230.0
720.0,85.08030328123841,47.655818499623564,5.0,49.0,81.0,118.0,264.0
744.0,137.82832506377457,95.07971895250218,3.0,59.75,127.0,203.25,410.0
720.0,125.0772857048449,113.81325686635915,5.0,38.0,83.0,183.25,623.0
744.0,108.11424111531335,90.58467272078867,5.0,39.0,101.5,139.0,519.0
